source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,abs_mag_g
4049677281452371712,273.18250789674215,-29.97582839328482,10.023536006233995,19.199738,1.3061295,19.56985,18.263721,14.20484232269907
4103099635057939968,278.1272387532101,-15.85910646610007,10.023537052667859,20.13079,1.8297787,20.900866,19.071087,15.135895711016826
5241806241048097024,165.51556761451795,-62.16290466007144,10.023551528140544,11.042716,1.0939026,11.493472,10.3995695,6.047824162799399
5858876149669590656,200.46292137209974,-64.66419518071613,10.02355258893978,20.43641,1.828434,20.87418,19.045746,15.441519270232291
3185629508902945792,69.24106436742554,-9.212043252299607,10.02356336192054,15.019342,2.5892906,16.440193,13.850903,10.024453122612009
5931753395269259904,243.5643741015263,-55.156350040106666,10.023574622020337,20.652155,3.074192,21.731373,18.65718,15.65726806196231
1381311754986464640,245.55654940327102,42.16674040125208,10.02357680515913,19.797634,1.0100574,20.084988,19.07493,14.802747737180376
5825647087167507328,236.2938906871311,-64.76125381554787,10.023578858097428,20.764433,1.8258877,21.290876,19.464989,15.769546964270292
3410749773046205184,68.48872406909705,19.79734469512309,10.02358167609243,16.931028,3.0613537,18.723152,15.6617985,11.936143033734979
2939671399174476288,99.66330094941085,-18.739037033953146,10.023588644952827,20.664406,2.4200687,21.330128,18.910059,15.669522000108154
4096697969163587712,276.899869244402,-17.43629455635712,10.023600990259402,19.980158,2.0344753,20.181606,18.147131,14.98527670396607
6028129300268245632,256.1463030257786,-31.959935180085395,10.02361123598689,19.777657,1.3952808,19.902494,18.507214,14.782777626560863
5914754223894172928,252.91239730145335,-60.0136542424982,10.023613267430012,20.852217,0.81707,21.408052,20.590982,15.857338232049269
5625833010835799040,134.22304490456017,-35.22503066917776,10.023615261653402,15.785904,2.6698923,17.264587,14.594695,10.7910258741522
6034361057271902592,252.82677695580853,-26.423889428348904,10.023617742121585,19.964756,1.406601,20.185854,18.779253,14.9698784928088
4173434878464330496,273.477696729272,-5.212048799864951,10.023621314158051,19.16756,1.7213764,19.450726,17.72935,14.1726838320686
